pm10,pm25,so2,co,o3,no2,categori
18,48,40,7,28,6,BAIK
25,55,40,10,22,11,SEDANG
17,44,39,10,21,9,BAIK
31,57,40,13,19,9,SEDANG
30,58,40,13,20,8,SEDANG
21,50,40,7,16,5,BAIK
33,65,40,12,19,5,SEDANG
43,62,40,11,25,9,SEDANG
34,57,39,11,26,9,SEDANG
42,66,40,11,25,12,SEDANG
43,63,40,11,23,13,SEDANG
38,66,40,22,21,15,SEDANG
37,60,41,10,22,11,SEDANG
25,51,39,16,20,13,SEDANG
33,63,39,12,24,12,SEDANG
21,50,39,10,23,10,BAIK
59,95,40,21,25,12,SEDANG
51,83,40,16,24,11,SEDANG
42,61,39,9,13,6,SEDANG
16,45,39,9,19,4,BAIK
48,75,39,11,23,13,SEDANG
59,94,40,13,30,12,SEDANG
68,113,39,18,24,14,TIDAK SEHAT
70,126,29,26,15,34,TIDAK SEHAT
---,55,28,9,14,25,SEDANG
23,40,27,5,16,10,BAIK
32,59,28,9,14,17,SEDANG
---,48,28,8,14,35,BAIK
---,34,21,4,24,6,BAIK
---,29,22,5,20,7,BAIK
---,41,23,6,17,11,BAIK
---,57,31,9,15,21,SEDANG
31,52,27,7,13,11,SEDANG
23,50,36,6,10,13,BAIK
35,65,38,11,11,42,SEDANG
27,55,27,5,20,8,SEDANG
36,61,24,9,20,11,SEDANG
32,56,24,10,18,17,SEDANG
24,35,21,7,22,9,BAIK
44,71,33,25,14,37,SEDANG
38,60,41,8,17,17,SEDANG
27,52,24,16,14,33,SEDANG
32,52,22,10,21,15,SEDANG
29,52,22,8,18,12,SEDANG
56,92,25,20,16,40,SEDANG
49,77,28,8,21,12,SEDANG
24,40,28,4,11,7,BAIK
28,52,31,7,13,23,SEDANG
24,49,21,7,22,18,BAIK
39,64,27,10,25,24,SEDANG
50,77,22,9,22,13,SEDANG
37,60,20,12,12,17,SEDANG
38,55,20,15,14,28,SEDANG
49,67,19,21,17,35,SEDANG
51,75,22,18,19,31,SEDANG
52,69,20,16,16,30,SEDANG
51,73,20,22,15,37,SEDANG
57,88,23,23,19,31,SEDANG
47,63,21,16,11,19,SEDANG
36,50,23,15,10,22,BAIK
45,65,20,20,14,27,SEDANG
27,35,19,9,15,21,BAIK
44,58,24,12,13,25,SEDANG
37,62,27,13,13,25,SEDANG
39,60,23,14,10,19,SEDANG
45,70,29,18,13,34,SEDANG
55,80,32,13,21,36,SEDANG
59,93,25,19,20,45,SEDANG
64,102,30,15,25,40,TIDAK SEHAT
60,88,29,14,24,35,SEDANG
55,80,28,16,19,31,SEDANG
43,55,21,11,18,17,SEDANG
38,61,21,13,14,18,SEDANG
37,54,23,11,12,16,SEDANG
32,53,21,10,9,15,SEDANG
25,47,22,9,14,17,BAIK
50,69,23,19,19,28,SEDANG
53,71,29,13,18,33,SEDANG
54,75,20,15,31,31,SEDANG
55,77,19,19,21,37,SEDANG
53,69,24,15,14,30,SEDANG
43,57,22,13,15,23,SEDANG
48,66,45,13,38,18,SEDANG
55,61,50,12,53,21,SEDANG
59,76,46,19,50,30,SEDANG
56,79,45,16,49,28,SEDANG
65,81,54,16,59,26,SEDANG
71,89,59,23,52,31,SEDANG
60,84,29,23,51,27,SEDANG
52,65,28,16,41,15,SEDANG
51,55,27,13,33,15,SEDANG
56,81,42,21,42,26,SEDANG
38,50,26,9,43,9,BAIK
51,60,27,12,45,19,SEDANG
40,58,29,11,41,16,SEDANG
50,62,27,12,37,15,SEDANG
51,72,33,15,49,19,SEDANG
67,89,41,13,57,25,SEDANG
78,107,55,20,53,41,TIDAK SEHAT
78,115,43,14,74,23,TIDAK SEHAT
73,93,39,13,59,26,SEDANG
61,94,41,15,56,24,SEDANG
47,58,29,11,51,14,SEDANG
45,67,30,13,43,17,SEDANG
48,55,30,9,44,11,SEDANG
33,57,27,11,37,8,SEDANG
36,53,29,9,41,13,SEDANG
57,77,35,18,53,21,SEDANG
62,83,49,12,63,19,SEDANG
57,76,43,15,71,18,SEDANG
65,88,48,18,67,25,SEDANG
53,68,34,13,55,17,SEDANG
39,58,30,12,48,18,SEDANG
62,97,28,13,21,14,SEDANG
54,71,26,13,41,14,SEDANG
57,83,27,18,38,20,SEDANG
56,77,29,13,28,19,SEDANG
54,77,31,11,39,20,SEDANG
54,80,27,17,34,18,SEDANG
64,93,28,18,31,19,SEDANG
53,77,28,11,18,10,SEDANG
41,63,30,7,19,10,SEDANG
60,89,28,14,25,14,SEDANG
29,52,26,7,28,11,SEDANG
66,99,29,13,29,15,SEDANG
53,72,29,7,23,9,SEDANG
52,73,28,10,16,10,SEDANG
51,76,28,9,25,10,SEDANG
59,88,40,8,41,18,SEDANG
71,106,32,11,39,19,TIDAK SEHAT
61,99,35,7,42,18,SEDANG
59,87,33,7,39,14,SEDANG
65,106,31,12,45,17,TIDAK SEHAT
81,118,27,15,37,16,TIDAK SEHAT
62,93,26,15,36,10,SEDANG
51,77,26,9,27,8,SEDANG
43,64,26,6,27,8,SEDANG
38,62,26,7,28,9,SEDANG
55,79,27,13,39,11,SEDANG
51,73,30,11,56,19,SEDANG
47,63,27,10,43,17,SEDANG
51,19,26,14,48,21,SEDANG
59,24,29,10,33,20,SEDANG
56,22,12,18,32,25,SEDANG
56,96,40,13,19,9,SEDANG
46,81,39,17,29,14,SEDANG
52,---,41,19,31,14,SEDANG
62,103,40,19,33,11,TIDAK SEHAT
51,79,40,14,32,13,SEDANG
61,95,40,22,32,13,SEDANG
60,102,41,23,34,14,TIDAK SEHAT
58,81,40,16,19,6,SEDANG
24,55,41,10,18,8,SEDANG
56,89,40,21,21,12,SEDANG
28,53,39,9,25,9,SEDANG
53,83,41,19,22,13,SEDANG
37,69,41,10,20,9,SEDANG
40,68,41,16,14,9,SEDANG
37,77,42,14,24,12,SEDANG
57,101,46,13,37,18,TIDAK SEHAT
68,123,43,20,37,14,TIDAK SEHAT
68,125,45,16,37,22,TIDAK SEHAT
57,91,42,12,42,15,SEDANG
55,98,44,12,38,18,SEDANG
57,85,41,16,22,17,SEDANG
52,78,41,15,20,11,SEDANG
38,62,41,8,12,7,SEDANG
30,55,40,7,13,9,SEDANG
36,68,41,8,19,12,SEDANG
52,83,42,17,31,16,SEDANG
58,91,43,13,35,20,SEDANG
50,75,41,14,37,16,SEDANG
54,84,41,18,35,19,SEDANG
41,76,42,14,21,25,SEDANG
48,69,43,12,25,18,SEDANG
29,60,23,7,16,12,SEDANG
35,65,23,11,22,17,SEDANG
49,79,24,13,20,21,SEDANG
43,75,26,14,20,28,SEDANG
53,88,25,25,16,42,SEDANG
59,103,30,18,22,26,TIDAK SEHAT
45,67,27,12,11,22,SEDANG
35,62,31,7,12,16,SEDANG
53,91,27,21,17,39,SEDANG
---,41,20,5,22,8,BAIK
---,70,32,10,20,17,SEDANG
35,62,33,6,19,10,SEDANG
44,72,27,11,13,21,SEDANG
55,92,34,17,18,33,SEDANG
54,87,40,11,28,18,SEDANG
65,117,31,17,28,32,TIDAK SEHAT
62,107,40,11,34,17,TIDAK SEHAT
58,96,35,10,33,16,SEDANG
56,89,32,9,22,17,SEDANG
37,62,24,6,17,9,SEDANG
38,67,23,7,14,10,SEDANG
35,59,25,6,11,14,SEDANG
26,52,21,4,13,6,SEDANG
23,53,23,4,21,5,SEDANG
48,79,24,10,23,19,SEDANG
51,83,38,12,24,23,SEDANG
50,78,22,12,34,19,SEDANG
54,91,21,17,29,26,SEDANG
44,72,35,8,18,18,SEDANG
40,62,25,7,16,15,SEDANG
26,42,22,11,13,19,BAIK
41,54,27,11,17,19,SEDANG
25,42,20,8,18,22,BAIK
57,78,21,23,14,33,SEDANG
52,69,22,15,18,27,SEDANG
33,55,27,10,14,18,SEDANG
30,47,25,11,13,19,BAIK
38,55,33,12,13,22,SEDANG
54,69,26,14,15,28,SEDANG
48,66,23,13,17,29,SEDANG
45,68,31,12,25,31,SEDANG
55,69,26,20,15,31,SEDANG
55,68,23,18,21,40,SEDANG
51,71,27,15,25,32,SEDANG
56,74,24,24,21,40,SEDANG
55,76,24,20,16,42,SEDANG
